,paragraph
390,Setting a universal or global absolute threshold in terms of tC ha for carbon stocks is not a viable option given the variability of carbon sequestration and stocking potential  which is very context specific Those with low carbon stock potential will not be able to deliver substantial sequestration in line with a universal absolute threshold Even setting an absolute threshold linked to local conditions based on maximum carbon stocking potential at that site is not possible as at present is it is impractical to test and estimate the maximum sequestration potential ie saturation point of a specific area Such calculations currently use default values based on soil type and therefore are not truly context specific Furthermore even defining a specific  of carbon increase required is more challenging than setting the relative threshold for reducing emissions Reducing emissions is always proportional to the level of emissions at a given point therefore a 20 reduction can be expected to deliver a substantial contribution from an underperforming farm resulting in high overall emission reductions However the premise is different when looking to increase sequestration on agricultural land as there is relatively little evidence and few studies that suggest what level of Carbon stock increase would be needed on agricultural land in a 15 or 2C climate stabilisation target scenario as this is relative to the level of emissions from that same land if one is pursuing a netzero approach or the level of carbon sequestration needed to offset other sectors of the economy It is however recognised that C sequestration represents the largest mitigation potential available to the agriculture sector at global scale while emission savings of nonCO2 emissions may be more important in the EU with a prevailing intensive production system Smith et al 2007 estimate that 89 of the technical potential of emission reductions in the sector to 2030 and 2050 lies in soil carbon sequestration iein reducing net CO2 emissions from farming practices and management including cropland management grazing land management restoration of cultivated organic soils and restoration of degraded lands The proposal is therefore to require evidence of a positive direction of travel in terms of increasing carbon stocks specifically the progressive increase of carbon stocks over a 20year period A 20 year period for C stock saturation maintenance is proposed in line with the IPCC 20 year soil C saturation period Where the remaining lifecycle of the crop production being financed is less than 20 years assurance should be sought on the likely replanting of crops to promote the permanence of carbon sequestration trends It is recognised that uprooting old crops and replacing with new younger stage crops with a potential fallow restoration period between will lead to a reduction in carbon stocks and some emissions With this in mind the objective is to ensure overall maintenance of carbon stocks and or upward trends in sequestration are sought over multiple rotations
391,On no conversion of high carbon stock land A cutoff date of 2008 for no conversion of high carbon stock land is chosen to be consistent with the operation of the Renewable Energy Directive sustainability criteria relative to these land types This provides a link with existing sustainability schemes through which compliance could be demonstrated for this criterion
392,3year compliance checking is proposed to ensure progress is being made and mitigation is being delivered in practice and also to reduce the burden necessary on operators This compliance checking is required for management practice checking C stock change and GHG reductions To prepare the farm sustainability management plan a carbon calculator can be used or the plan can also be prepared using other nutrient decisionsupport tools Advisory support will likely be required in the process of preparing the plan and may also be required to ensure adequate implementation of the plan Do no significant harm assessment Key environmental aspects to be considered for investments in growing of nonperennial crops span across all other five objectives and are summarized as follows
393,Note that areas of environmental risk are highly geographically variable Guidance should be sought from the relevant competent national or regional authority to identify areas or issues of importance and relevance within the area or project concerned DNSH Objective
394,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
395,Consistent with GAEC 5 of Annex III of COM2018392 The aim is to provide farmers with a digital tool that helps them optimize the use of nutrients on their farm leading to environmental and agronomic benefits
396,Activities ensure that nutrients fertilisers and plant protection products eg pesticides and herbicides are targeted in their application in time and area treated and are delivered at appropriate levels with preference to sustainable biological physical or other nonchemical methods if possible and with appropriate equipment and techniques to reduce risk and impacts of pesticide use on human health and the environment eg water and air pollution and the loss of excess nutrients 170
397,Activities do not lead to the conversion fragmentation or unsustainable intensification of highnaturevalue farmland wetlands forests or other areas of highbiodiversity value172 This includes highly biodiverse grassland spanning more than one hectare that is i natural namely grassland that would remain grassland in the absence of human intervention and that maintains the natural species composition and ecological characteristics and processes or ii nonnatural namely grassland that would cease to be grassland in the absence of human intervention and that is speciesrich and not degraded and has been identified as being highly biodiverse by the relevant competent authority Activities should not173
398,169 It is noted that the EU Circular Economy Strategy and many of the actions from the corresponding actions plans have relevance to agriculture that may provide guidance here eg proposing legislation setting minimum requirements for reused water for agricultural irrigation new Fertiliser Regulation introducing harmonised rules for organic fertilisers manufactured from secondary raw materials such as agricultural byproducts and biowastes 170 See Directive 2009128EC on sustainable use of pesticides and the Nitrates Directive SMR 13 of CAP post 2020 will link the implementation of the pesticide directive with direct payments under cross compliance 171 In the EU this means the use of plant protection products that are categorised in groups 1 2 or 3 as regard their hazard weighting under Directive EU 2019782 table1 172 Areas of highbiodiversityvalue can be defined as set out in Article 293 of the Directive EU20182001 173 Consistent with Statutory Management Directive 3 and 4 of the post 2020 CAP and specifically Council Directive 9243EEC of 21 May 1992 on the conservation of natural habitats and of wild flora and fauna OJ L 206 2271992 p 7 Article 61 and 2 and Directive 2009147EC of the European Parliament and of the Council of 30 November 2009 on the conservation of wild birds OJ L 20 2612010 p 7 Article 31 Article 32b Article 41 2 and 4
399,Where activities involve the production of novel nonnative or invasive alien species their cultivation should be subject to an initial risk assessment and ongoing monitoring in order to ensure that sufficient safeguards are in place to prevent escape to the environment
400,1 Demonstrate substantial avoidance or reduction of GHG emissions from livestock production including animal management storage and processing of manure and slurry and management of permanent grasslands 2 Maintain existing sinks and increase sequestration up to saturation point of carbon in permanent grassland Where livestock production does not include permanent grassland only principle 1 applies Permanent grassland is land used to grow grasses or other herbaceous forage either naturally selfseeded including rough grazing or through cultivation sown and which is more than five years old
401,2 Maintain and increase existing carbon stocks for a period equal to or greater than 20 years through the application of appropriate management practices This can be demonstrated in either of the following ways
402,Noting the following exception For soils specifically where it can be demonstrated that saturation levels have been reached no further increase in carbon content is expected In this case existing levels should be maintained
403,3 Production is not undertaken on land that had any of the following status in or after January 2008 and no longer has that status 174 a Wetlands namely land that is covered with or saturated by water permanently or for a significant part of the year
404,This requirement is taken from RED II Article 29 paragraphs 4 and 5 It is be applied to all perennial crop production whether for biofuels bioliquids or biomass or for food or feed uses The intention is per RED II namely to ensure high carbon stock land is not converted for the purposes for agricultural production
405,b Continuously forested areas namely land spanning more than one hectare with trees higher than five metres and a canopy cover of more than 30  or trees able to reach those thresholds in situ c Land spanning more than one hectare with trees higher than five metres and a canopy cover of between 10  and 30  or trees able to reach those thresholds in situ 175 d Peatland unless evidence is provided that the cultivation and harvesting of that raw material does not involve drainage of previously undrained soil
406,The essential management practices are described in the table below All essential practices will need to be deployed except where particular practices can be demonstrated to be not applicable to that farm holding given the particular biophysical conditions at that farm holding
407,In respect of the essential practice relating to the GHG assessment this assessment should be done using tools that cover all relevant emissions on the farm associated with production as well as emissions associated with energy and fuel use see below for relevant GHG categories If it can be demonstrated that no carbon assessment tool is currently accessible to farmers in a given location either because of language or lack of access to farm advisory support this practice may be omitted in the first instance The assessment however becomes mandatory within a five year period The assessment is a selfassessment using an appropriate tool no independent audit or verification of the GHG assessment is required
408,To demonstrate compliance with all other essential practices it will be necessary to establish a farm sustainability management plan which describes the management practices being deployed  taking into account crop husbandry requirements farm pedoclimatic conditions  and their coverage on the farm To prepare the farm sustainability management plan a carbon calculator can be used or the plan can also be prepared using other nutrient decisionsupport tools
409,Unless evidence is provided that the carbon stock of the area before and after conversion is such that when the methodology of part C of Annex V of RED II is applied the conditions laid down in paragraph 10 of Article 29 of RED II would be fulfilled
410,To demonstrate compliance with the quantitative GHG thresholds it will be necessary to establish a Carbon stock and GHG emission baseline for the farm see below for relevant GHG categories It will be against such baseline data that emission reductions of Carbon increases can be measured A carbon audit is necessary in order to also assess where action is needed and this must be accompanied by a carbon management plan to set out the management practices that will deliver the GHG emissions reduction carbon sequestration This carbon management plan is part of the broader farm sustainability plan
411,Calculations of carbon stocks and GHG emissions levels should include the following though it is recognised that in practice the scope of GHG counted will be subject to the technical capabilities of the GHG accounting tools being used o
412,In the case of force majeure emissions resulting from natural disturbance can be excluded from impacting on the achievement of the thresholds and will not affect the application of these requirements or result in noncompliance with these criteria
413,Better health planning and management develop a health management plan improve hygiene  supervision at parturition improve maternal nutrition in late gestation to increase offspring survival improve fertility management selection for improving both methane and ammonia emission efficiency
414,Feed additives certain compounds such as dietary fats nitrate 3NOP can reduce enteric CH4 emissions of ruminants They need to be administered by mixed into the feed and the dosage needs to be set accurately in order to avoid some potential negative health effects on the livestock It is usually not feasible to apply these for the periods when the livestock is grazing
415,Precision and multiphase feeding techniques where the nutrient requirements of groups of animals or individual animals are targeted in feed formulation This can reduce nitrogen excretion and subsequent N2O emissions from manure and also increase feed efficiency in general reducing the feed related upstream emissions
416,Cooling of liquid manure CH4 emissions from liquid manure increase with temperature The slurry can be stored at a lower ambient temperature by using animal houses where the manure is collected in an outside pit rather than in the house
417,This would require that where imported or boughtin from outside the region that it is drawn from certified feed supply chains For example the Round Table on Responsible Soy RTRS provides certification for production and for chain of custody traceability through the supply chain Other certification for other crops feedstocks standards exists 176
418,Covering and sealing slurry and farmyard manure storage to reduce gaseous losses of ammonia and related indirect N2O and also CH4 emissions A wide choice of technological solutions is available from short lifetime plastic film covers to retrofitted or purpose built rigid covers
419,Separating solids from slurry via mechanical or chemical ways the liquid part rich in N of the slurry and also digestate from AD can be separated from the solid part rich in phosphorous and volatile solids
420,Slurry acidification is achieved by adding strong acids to the slurry to achieve a pH of 4568  this reduces CH4 and NH3 emissions considerably There are three main types of technology based on the stage at which the acid is added to the slurry in the livestock house in the storage tank or before field application The slurry tank and the spreading equipment needs to be designed to withstand the acidic liquid and precautions particularly while handling the strong acids are needed to minimize the risk of accidents A better monitoring of the storage is also advisable to reduce the risk of slurry spillage to a minimum
421,Where energy emissions represent more than 20 of total emissions from livestock production activity these emissions should be reduced appropriately for the term of the investment in line with the trajectory outlined on P11 ie by at least 10 compared to a 2020 baseline for a 5 year investment period 20 compared to a 2020 baseline for a 10 year investment period to 2030 and 30 compared to a 2020 baseline for a 20 year investment period  with prorata adjustments for investments of intermediate durations
422,Rationale Opportunities for substantial mitigation and contributions to a net zero carbon economy An overarching goal of the Taxonomy is to enable the screening of economic activities to determine whether or when they do or do not deliver substantial mitigation consistent with the underlying goal of a net zero carbon economy by 2050
423,In the context of agriculture NetZero is a means to ensure that even where GHG emissions cannot be reduced to zero they can be compensated for through increased removals through carbon sequestration on farmed land The discussion about the scale at which netzero should and could be met solely in agriculture remains open It may not be possible to reach netzero emissions on an individual farm holding in all cases In other cases it may be more feasible At the aggregate level it may be that some countries with concentrated production systems and small land areas would struggle to reach netzero emissions within the agriculture sector alone and within country This raises the question as to the extent to which a given farm or aggregation of farms could reach netzero and
424,the extent to which these farms could appropriate negative emissions sequestration from other farms or other sectors The criteria proposed in the Taxonomy do not attempt to address this question directly and instead focus on ensuring that emissions are reduced and that removals increase at the economic activity NACE code level While livestock production and in particular ruminant livestock production beef lamb dairy is a significant source of emissions in the agriculture sector it is included in the Taxonomy due to the significant shortterm mitigation potential associated with reducing emissions intensity in livestock management and in particular longlived greenhouse gases N20 CO2 through good practices on the farm In the short term emission reductions associated with improved nitrogen use efficiency and manure management are substantial with overall positive impacts on farm level economics Each of these needs to be addressed in order to ensure that agriculture as a whole delivers substantial mitigation and contributes its part to a net zero carbon economy Doing so ensures each instance of livestock management maximises its contribution  this rationale drove the principles set out above However it is important to note that for absolute emissions from agriculture to continue decreasing beyond a certain point and to move towards netzero targets by midcentury reduced emissions intensity will need to be coupled as soon as possible with commensurate changes in consumption patterns and overall reduced percapita consumption of livestock products especially beef lamb and dairy products This implies both societal changes in terms of changing diets and reducing food waste as well as structural transformations in the agricultural sector Significant and coordinated policy efforts will be required to manage both behavioural changes on the side of consumers and to incentivise and manage structural change in the agrifood supply chain At this point the Taxonomy cannot address such shifts but can only point to significant shortterm potential associated with efficiency gains Future Taxonomy updates should however consider these aspects
425,Approach taken to setting thresholds for livestock production There continues to be a relative paucity of information and data to set absolute thresholds eg gCO2e ha or gCO2e unit of production for agriculture that represent low carbon agriculture Even if such information existed at the aggregate level translating this to appropriate thresholds would remain challenging given the heterogeneity across farms and farming practice implementation However setting relative GHG thresholds ie  change in gCO2e ha or  change in gCO2eunit of production is possible where these can be made relative to a counterfactual on the same farm or project Whilst this provides some quantitative means of assessing mitigation performance it is a relatively blunt mechanism as it does not take into account emissions reductions which might previously have been achieved and farm is already delivering significant mitigation Therefore is harder for a farm that already performs relatively well to deliver an additional X reduction in emissions than it is for a form that currently performs relatively poorly Furthermore to determine compliance with such a GHG threshold GHG accounting at farm level is necessary But this is not yet mainstream despite the existence of a range of tools and approaches
426,The proposals therefore allow for a different approach namely the demonstration of the deployment of specific bundles of management practices practices that are recognised as essential to delivering low carbon production in different types of agriculture This qualitative approach is relatively simple to monitor and there are existing mechanisms to do so such as under the CAP It also provides a more directly communicable approach to farmers and land managers who will implement such practices on the ground As this approach is applicable for those who have already established such practices as well as those that will additional investment finance to do so it also allows for the recognition of farms and associated assets and equity that are already high performers in terms of a low GHG footprint so avoids the problems associated with the relative GHG threshold as described above Emission contributions from agriculture in the EU arise primarily from three sources enteric fermentation 429 0186 GtCO2e management of agricultural soils 38 0165 GtCO2e and manure management 154 0067 GtCO2e And they are predominantly from reductions in nonCO2 emissions as these form the majority of agriculture emissions in the EU with CO2 from onfarm energy use being a minor component covering only 013 of total EU28ISL agriculture emissions in 2014 The largest share of the EUs agricultural nonCO2 GHG emissions comes from the more potent nitrous oxide N2O and methane CH4 Nitrous oxide accounts for 58 of nonCO2 emissions from agriculture largely from fertiliser application and exposed soils as well as grazing animals with methane accounting for the remaining 42 largely from livestock and rice cultivation In some cases GHG emission from energy traction heating cooling irrigation can form a significant proportion of emissions arising from the farm The proposed best practices therefore include a provision for when GHG emissions from energy are greater than 20 of farm emissions these should be reduced by 20 through efficiency and energy source requirements In relation to livestock management mitigation potential derives from improved animal health planning loweremission feeding strategies and reducing emissions from manure management and waste treatment Buckley et al 2015179 Chadwick et al 2011180 Miselbrook et al 2014181
427,Metrics and thresholds On management practices that deliver substantial mitigation Rationale for the selection of practices Scientific literature identifies a wide range of possible mitigation activities available in livestock production to address the different emissions and opportunities for sequestration
428,Chadwick D Sommer S Thorman R Fangueiro D Cardenas L Amon B and Misselbrook T 2011 Manure management Implications for greenhouse gas emissions Animal Feed Science and Technology 16667 514531 181
429,Misselbrook T H Cardenas L M Camp V Thorman R E Williams J R Rollett A J and Chambers B J 2014 An assessment of nitrification inhibitors to reduce nitrous oxide emissions from UK agriculture Environmental Research Letters 9 115006
430,For the purpose of the Taxonomy individual management practices were identified for which 1 there is sufficient existing scientific knowledge and consensus on the mitigation effects and interactions with other environmental and food security objectives and 2 the scale certainty and consistency of mitigation effects is sufficiently demonstrated for example Smith et al 2008 182 Paustian et al 2016183 Kay et al 2019184 The identified practices include activities that reduce the carbon intensity of agriculture and do not risk leakage effects and also do not risk negative ancillary effects or are in conflict with legislation in the EU These practices deliver substantial mitigation with relatively high certainty across a range of biophysical and farming conditions Scientific literature provides insights on mitigation potential on categories or individual practices and also indicates that it is the combination of practices which are applied over large areas that leads to substantial mitigation ie an approach is required where all feasible mitigation practices which are environmentally sustainable should be pursued Paustian et al 2016 The literature however provides limited guidance on how to translate sectoral or activitybased mitigation potential into individual farmlevel mitigation potential ie what combination of practices should be applied together as a minimum at farm level in different conditions to deliver substantial mitigation Therefore TEG expert input was used to determine the minimum combination of practices which should be applied together for each NACE activity code to deliver substantial mitigation at farm level The table below indicates the management practices selected as the bundle of essential practices that deployed collectively should deliver substantial mitigation from livestock production at farm level It is noted that given heterogeneity of farms deployment of the same bundle of practices may result in different emissions impacts farm to farm but overall it is expected that deployment of this bundle will deliver substantial mitigation in the majority of cases The applicable area for management practices relates to where those practices could and should be deployed on a farm in order to meet their objectives For example buffer strips designed to prevent soil erosion and runoff are to be placed next to water courses and ditches etc Therefore some practices may only be deployed on a small area of the farm where they add value One best practice the requirement to undertake a GHG assessment does not directly lead to reduced emissions or increased sequestration The rationale for including this practice it to raise awareness of where the main emission sources are on a farm holding what opportunities exist and thus where greatest mitigation impact could be achieved including through opportunities for carbon sinks and thereby improve the targeting of mitigation action In this spirit no verification or audit of the assessment is required This is different from the quantitative baseline assessment and carbon audit both of which are necessary when demonstrating compliance with the quantitative GHG thresholds The assessment should be done using tools that cover all relevant emissions on the farm associated
431,with crop livestock production as well as emissions associated with energy and fuel use If it can be demonstrated that no carbon assessment tool is currently accessible to farmers in a given location either because of language or lack of access to farm advisory support this practice may be omitted in the first instance The assessment however becomes mandatory within a five year period
432,On GHG emission reduction thresholds Substantial in the context of substantial mitigation falls on a spectrum of mitigation potential from net negative where removals exceed emissions netzero where removals balance with emissions to varying degrees of emission reductions With no EU or global baseline target for emission reductions from the agriculture sector as a whole or nonperennial crop production specifically the degree to which emission reductions and removals should be required becomes a question of ambition and need It is also noted that the Taxonomy has a global reach and thus any level of substantial should be consistent in the global context A review by Wollenberg et al 2016185 suggests a total mitigation need from agriculture from between 09  14 GtCO2e in 2030 to meet the 2 C target 1 GtCO2e in 2030 This was selected as an approximate target These figures relate primarily to nonCO2 emissions and are an annualized not cumulative goal The target assumes an allowable emissions budget of 615778 GtCO2e yr1 for agriculture in 2030 The goal represents an 1118 reduction relative to the scenarios respective 2030 business as usual baselines186 As these figures represent nonCO2 emissions they implicitly do not recognise the role of potential carbon sequestration and its contribution to global mitigation goals As such a GHG emissions reduction threshold of 20 over the 10 year period from 2020 to 2030 has been proposed as significant contribution in the context of the Taxonomy This is supported by work from Frank et al 2018187 and The IPCCs fourth assessment report Smith et al 2007 188 In terms of establishing a declining emissions trajectory for agriculture the work by Wollenberg et al 2016 calculates emission reduction needs based on a trajectory of emissions from 2010 through to 2100 The emissions curve level of emissions over time increases and decreases at different points relative to existing efforts projected changes in external factors etc The average reduction figure needed over this whole timeframe is 28 emission reductions compared to the baseline As we move towards 2040 and 2050 the level of emission reductions needed increases and this implications for any threshold set beyond the 2030 timeframe The reduction figure in 2050 would be larger approximately a doubling Although in the study the level of emission reductions needed is not linear between the years for simplicity a linear reduction is drawn between the two pegs of 20 reduction by
433,Wollenberg E Richards M Smith P Havlik P Obersteiner M Tubiello F N  Campbell B M 2016 Reducing emissions from agriculture to meet the 2C target Global Change Biology 22 38593864 doi101111gcb13340 186
434,Stefan Frank et al Agricultural nonCO2 emission reduction potential in the context of the 15 C target Nature Climate Change 2018 DOI 101038s4155801803588 Smith P et al 2007 Agriculture in Climate Change 2007 Mitigation Contribution of Working Group III to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change Cambridge University Press New York 188
435,2030 and 40 reduction by 2050 as a linear trajectory of emission reductions also simplifies implementation and communication The study determined these reductions against a business as usual scenario for agriculture However establishing a BaU counterfactual level of emissions for each project or farm could limit implementation effectiveness as the BaU emissions would need to be calculated assuming the mitigation action was not in place For simplicity the proposed approach is therefore to simplify the requirement to compare emissions at the start of period with those achieved over the specified period and assess this against the target reduction The threshold metric is gCO2e and not an emissions intensity metric such as gCO2e unit of production as this enables the Taxonomy to be applied by those reducing emissions intensity eg through efficiency improvements while also requiring them to reduce emissions overall  the overall goal
436,On setting Carbon stock thresholds Setting a universal or global absolute threshold in terms of tC ha for carbon stocks is not a viable option given the variability of carbon sequestration and stocking potential  which is very context specific Those with low carbon stock potential will not be able to deliver substantial sequestration in line with a universal absolute threshold Even setting an absolute threshold linked to local conditions based on maximum carbon stocking potential at that site is not possible as at present is it is impractical to test and estimate the maximum sequestration potential ie saturation point of a specific area Such calculations currently use default values based on soil type and therefore are not truly context specific Furthermore even defining a specific  of carbon increase required is more challenging than setting the relative threshold for reducing emissions Reducing emissions is always proportional to the level of emissions at a given point therefore a 20 reduction can be expected to deliver a substantial contribution from an underperforming farm resulting in high overall emission reductions However the premise is different when looking to increase sequestration on agricultural land as there is relatively little evidence and few studies that suggest what level of Carbon stock increase would be needed on agricultural land in a 15 or 2C climate stabilisation target scenario as this is relative to the level of emissions from that same land if one is pursuing a netzero approach or the level of carbon sequestration needed to offset other sectors of the economy It is however recognised that C sequestration represents the largest mitigation potential available to the agriculture sector at global scale while emission savings of nonCO2 emissions may be more important in the EU with a prevailing intensive production system Smith et al 2007 estimate that 89 of the technical potential of emission reductions in the sector to 2030 and 2050 lies in soil carbon sequestration iein reducing net CO2 emissions from farming practices and management including cropland management grazing land management restoration of cultivated organic soils and restoration of degraded lands
437,The proposal therefore is to require evidence of a positive direction of travel in terms of increasing carbon stocks specifically the progressive increase of carbon stocks confirmed at 3year intervals over a 20 year period
438,On no conversion of high carbon stock land A cutoff date of 2008 for no conversion of high carbon stock land is chosen to be consistent with the operation of the Renewable Energy Directive sustainability criteria relative to these land types This provides a link with existing sustainability schemes through which compliance could be demonstrated for this criterion
439,On demonstrating compliance with these criteria and thresholds 3year compliance checking is proposed to ensure progress is being made and mitigation is being delivered in practice and also to reduce the burden necessary on operators This compliance checking is required for management practice checking C stock change and GHG reductions To prepare the farm sustainability management plan a carbon calculator can be used or the plan can also be prepared using other nutrient decisionsupport tools Advisory support will likely be required in the process of preparing the plan and may also be required to ensure adequate implementation of the plan Do no significant harm assessment The activity livestock production captures a distinct set of subactivities that would include intensive and extensive forms of livestock rearing as well as the management of permanent grassland These come with different key environmental aspects that need to be considered for investments in this sector summarised as follows
440,To note that areas of environmental risk are highly geographically variable Guidance should be sought from the relevant competent national or regional authority to identify areas or issues of importance and relevance within the area or project concerned 2 Adaptation
441,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented 152
442,Activities should use residues and byproducts and take any other measures to minimise primary raw material use per unit of output including energy189 Activities should minimise the loss of nutrients from the production system into the environment
443,Activities ensure that nutrients fertilisers and plant protection products eg pesticides and herbicides are targeted in their application in time and area treated and are delivered at appropriate levels with preference to sustainable biological physical or other nonchemical methods if possible to reduce risk and impacts of pesticide use on human health and the environment eg water and air pollution and the loss of excess nutrients through leaching volatilisation or oxidisation190
444,The use only of plant protection products with active substances that ensure high protection of human and animal health and the environment191Ensure emissions to air water and soil are within the BATAEL ranges  are prevented or reduced by using a combination of BAT techniques as set out in the BREF for the Intensive Rearing of Poultry or Pigs 192 and by using similar emission reducing techniques for dairy farming
445,Ensure that mitigation and emission reduction techniques for feeding and housing of livestock and for manure storage and processing are applied as recommended in the UNECE Framework Code for Good Agricultural Practice for Reducing Ammonia
446,Where manure is applied to the land activities should comply with the limit of 170kg nitrogen application per hectare per year or alternatively the derogated threshold where one has been set in that member state 193
447,See Directive 2009128EC on sustainable use of pesticides and the Nitrates Directive SMR 13 of CAP post 2020 will link the implementation of the pesticide directive with direct payments under cross compliance 191
448,This threshold derives from the provisions set out under the Nitrates Directive 91676EC Council Directive 91676EEC of 12 December 1991 concerning the protection of waters against pollution caused by nitrates from agricultural sources In practice the threshold of 170kghayear has been implemented by Member States by setting limits on livestock density between 17  20 livestock units  ha Livestock unit is a reference unit which facilitates the aggregation of livestock from various species and age as per convention via the use of specific coefficients established on the basis of the nutritional or feed requirement of each type of animal see for example httpseceuropaeueurostatstatisticsexplainedindexphpGlossaryLivestock_unit_LSU
449,Activities do not lead to the conversion fragmentation or unsustainable intensification of highnaturevalue land wetland forests or other areas of highbiodiversity value194 This includes highly biodiverse grassland spanning more than one hectare that is i natural namely grassland that would remain grassland in the absence of human intervention and that maintains the natural species composition and ecological characteristics and processes or ii nonnatural namely grassland that would cease to be grassland in the absence of human intervention and that is speciesrich and not degraded and has been identified as being highly biodiverse by the relevant competent authority Activities should not195 o
450,Consistent with Statutory Management Directive 3 and 4 of the post 2020 CAP and specifically Council Directive 9243EEC of 21 May 1992 on the conservation of natural habitats and of wild flora and fauna OJ L 206 2271992 p 7 Article 61 and 2 and Directive 2009147EC of the European Parliament and of the Council of 30 November 2009 on the conservation of wild birds OJ L 20 2612010 p 7 Article 31 Article 32b Article 41 2 and 4
451,Why manufacturing is included in the Taxonomy Manufacturing is the second largest contributor to CO2e emissions but is also be able to produce the products and technologies that can contribute to GHG emissions reductions in other sectors of the economy and is thus a fundamental part of the lowcarbon economy The manufacturing section of the Taxonomy therefore includes both the manufacturing of lowcarbon technologies as well as energy intensive and hardtoabate manufacturing sectors It aims to give support to those economic activities that are low in carbon emissions and first movers who are engaging in a transformational shift Manufacturing coverage and thresholds Which economic activities are included and why The economic activities covered include sectors that account for a high share of industrial GHG emissions as a result of scope 1 and scope 2 emissions related to the manufacture of the products and therefore offer large potential for GHG emissions reduction Specifically this includes the manufacturing of aluminium NACE 2442 the manufacturing of iron and steel NACE 241 242 243 the manufacturing of cement NACE 2351 and the manufacturing of chemicals NACE 2013 2014 2015 2016 Additionally enabling activities are also included in manufacturing which covers both those activities included under low carbon technologies and also mitigation measures which when combined result in achievement of the thresholds
452,Low carbon activities refers to the manufacturing of products key components equipment and machinery that are essential to a number of key renewable energy technologies geothermal power hydropower concentrated solar power CSP solar photovoltaic PV technology wind energy and ocean energy the manufacturing of lowcarbon transport vehicles fleets and vessels the manufacturing of energy efficiency equipment for buildings and other lowcarbon technologies that result in substantial GHG emission reductions in further sectors of the economy including private households
453,Mitigation measures are included as enabling activities since they are recognised as critical steps supporting the transition of economic activities in these high emitting manufacturing sectors towards reaching the defined thresholds
454,The TEG acknowledges that many manufacturing activities are still not currently covered in the Taxonomy and this must be addressed It should be stated however that the TEG have not assumed that omitted activities are nongreen or brown Due to limited time the TEG has focused its attention on those economic activities likely to play the biggest role in leading Europe down a lowcarbon pathway to meet its Paris Agreement and 2050 climate neutrality goals Therefore the first round of sectors included in the manufacturing section of the Taxonomy are either those energy intensive and hardtoabate sectors that emit the most greenhouse gas emissions or those enabling manufacturing sectors that are clearly necessary for Europes lowcarbon economic transformation This means that other manufacturing sectors including other energyintensive sectors are not currently included even if they are significant in their impact 155
455,Criteria Metrics and Thresholds The manufacturing activities addressed in this first draft of the mitigation Taxonomy are considered to make a substantial contribution to climate change mitigation if the specific thresholds set for each activity are reached eg producing cement with GHG emissions lower than 0498 tCO2et of cement The criteria focus instead on reducing the GHG emissions caused by manufacturing activities up to the levels of performance achieved by best performers The criteria cover in general both scope 1 and 2 emissions Additionally in a number of sectors the requirement to limit GHG emissions to the level set in the EU ETS benchmarks has been complemented by other thresholds eg on the energy efficiency and carbon intensity of the electricity used or by alternative qualitative criteria eg making production of recycled aluminium eligible The EU ETS benchmarks have been the main reference for setting such thresholds as they correspond to the level of performance achieved by the 10 best installations in the EU and are updated regularly The platform is recommended to review whether additional requirements could be set for those economic activities where BATAssociated Energy Efficiency Levels BATAEELs exist or are developed over time based on such levels The implications of this in terms of global applicability of the Taxonomy will need to be considered A regular update is also is needed to assess if alternative low carbon technologies have become market ready and commercially available This may result in alternative threshold criteria for activities that currently have a threshold based on EU ETS benchmarks The thresholds for the manufacturing activities are predominantly tied to EU ETS benchmarks That means that the thresholds reflect the average performance of the 10 most efficient installations in a particular sector EU ETS benchmarks have been selected because they are the most robust benchmarks available and the data calculated according to the boundaries set are readily available for all installations within the EU that are part of the EU ETS scheme Although performance data using such metrics are not necessarily readily available for nonEU installations the methodologies can be followed and therefore can also be calculated univocally for nonEU installations Additionally the EU ETS benchmarks are periodically updated approximately every 5 years meaning that the thresholds that refer to them will not be static over time but automatically continue to represent the performance of the 10 best performing plants The TEG recognizes that there are disadvantages to using the EU ETS benchmarks The benchmarks are based on EU historic trends rather than global data Moreover EU ETS benchmarks do not consider the full lifecycle of a process or product but are focused on scope 1 andor scope 2 GHG emissions Therefore EU ETS benchmarks do not directly support recycling or improvement in upstream emissions Mindful of these limitations the TEG has actively looked for equally robust data sources but has to date not been able to identify equally robust data sources Where equally robust data can be provided these should be considered by the Platform There are no explicit thresholds for those manufacturing activities listed under the category low carbon technologies No criteria on the GHG emissions from manufacturing of listed products are specified since the mitigation benefits of these products components equipment and technology are considered to outweigh the emissions generated as a result of the manufacturing process to generate them This uncomprehensive list is complemented by additional criteria that allow additional products components equipment or technologies to be considered eligible if the overall benefits in terms of GHG emissions 156
